Applicability,Service,Reporting period,Category of incompatibility with the provider's terms and conditions,"Description of the sub-category ""Other""",Number of measures taken at the provider's own initiative,Number of measures taken after detection with solely automated means,Visibility restriction Removal,Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,Provision of the service Suspension,Provision of the service Termination,Account restriction Suspension,Account restriction Termination,Contextual Information on Number of measures taken at the provider's own initiative,Contextual Information on Number of measures taken after detection with solely automated means,Contextual Information on Visibility restriction Removal,Contextual Information on Visibility restriction Disable,Contextual Information on Visibility restriction Demoted,Contextual Information on Visibility restriction Age restricted,Contextual Information on Visibility restriction Interaction restricted,Contextual Information on Visibility restriction Labelled,Contextual Information on Visibility restriction Other,Contextual Information on Monetary restriction Suspension,Contextual Information on Monetary restriction Termination,Contextual Information on Monetary restriction Other,Contextual Information on Provision of the service Suspension,Contextual Information on Provision of the service Termination,Contextual Information on Account restriction Suspension,Contextual Information on Account restriction Termination
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,94414.0,13155.0,65459.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,32456.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,75052.0,12963.0,50813.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,23632.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,18807.0,0.0,14091.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,8269.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Inappropriate Content Involving Minors,555.0,192.0,555.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,555.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,3036.0,69.0,2097.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,277.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,1931.0,0.0,1082.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,94.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Dangerous Activities,688.0,53.0,649.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,1.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Other Illegal Activities,417.0,16.0,366.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,182.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,62011.0,757.0,45017.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,12441.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,473.0,0.0,461.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,459.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_PHISHING,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Spam,25273.0,618.0,11891.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,652.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Fraud,36265.0,139.0,32665.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,11330.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,5935.0,1.0,1444.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,27.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_SELF_MUTILATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_SUICIDE,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Self-harm & Suicide,5935.0,1.0,1444.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,27.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,441650.0,43437.0,398051.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,193212.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,441650.0,43437.0,398051.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,193212.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_UNSAFE_PRODUCTS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_VIOLENCE,,35628.0,80.0,23711.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,2212.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_COORDINATED_HARM,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_HUMAN_EXPLOITATION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_HUMAN_TRAFFICKING,,45.0,0.0,41.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,35.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_TRAFFICKING_WOMEN_GIRLS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_OTHER,Threats & Violence,35583.0,80.0,23670.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,2177.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,STATEMENT_CATEGORY_OTHER_VIOLATION_TC,,9947877.0,8763612.0,580934.0,9024648.0,0.0,184074.0,0.0,,14285.0,,4.0,,,,,135296.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,533933.0,106991.0,488519.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,74475.0,,,,,,,,,,,,,,,,
All,Snap,2025-07-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,
